39.12250699987635, sync, copy, 39, 4, 1
2754.8837220002897, sync, writeFile, 7333, 4, 1
14.576489000115544, sync, copy, 51, 4, 1
13.418974000029266, sync, copy, 32, 4, 1
18.99164600018412, sync, copy, 54, 4, 1
9.958928999956697, sync, write, 15, 4, 1
12.913766999728978, sync, writeFile, 21, 4, 1
17113.566186000127, sync, writeFile, 45603, 4, 1
3036.271044000052, sync, writeFile, 7642, 4, 1
4861.922336999793, sync, copy, 11920, 4, 1
714.2783659999259, sync, write, 1851, 4, 1
40.972843000199646, sync, writeFile, 127, 4, 1
0.3229040000587702, sync, write, 10, 4, 1
237.03074100008234, sync, copy, 644, 4, 1
892.0512230000459, sync, copy, 2443, 4, 1
2059.5598229998723, sync, copy, 4496, 4, 1
13.81467999983579, sync, copy, 58, 4, 1
5.3642710000276566, sync, write, 58, 4, 1
359.45679399976507, sync, writeFile, 1171, 4, 1
3307.8301020003855, sync, copy, 8154, 4, 1
150.30786299984902, sync, write, 507, 4, 1
183.9457019995898, sync, copy, 369, 4, 1
364.3063580002636, sync, write, 883, 4, 1
2953.93542300025, sync, copy, 7439, 4, 1
171.9654350001365, sync, copy, 509, 4, 1
10.381228000391275, sync, writeFile, 10, 4, 1
3.8795480001717806, sync, writeFile, 10, 4, 1
15003.308599000331, sync, copy, 37922, 4, 1
33.83161999983713, sync, copy, 49, 4, 1
19.759846000000834, sync, copy, 69, 4, 1
332.1438910001889, sync, write, 566, 4, 1
638.0469360002317, sync, writeFile, 1840, 4, 1
109.7537509999238, sync, copy, 309, 4, 1
12285.231486999895, sync, writeFile, 35361, 4, 1
11628.043996999972, sync, copy, 25710, 4, 1
6387.276552999858, sync, writeFile, 17113, 4, 1
12.510565999895334, sync, write, 47, 4, 1
4671.047353999689, sync, write, 12246, 4, 1
9629.226693999954, sync, copy, 25262, 4, 1
0.6961090001277626, sync, write, 18, 4, 1
3334.940318000037, sync, writeFile, 9693, 4, 1
37.34099300019443, sync, writeFile, 79, 4, 1
806.2077410002239, sync, copy, 1889, 4, 1
1792.1695559998043, sync, write, 5653, 4, 1
81.95568100037053, sync, copy, 175, 4, 1
15.883808999788016, sync, writeFile, 26, 4, 1
6581.281768999994, sync, writeFile, 20590, 4, 1
2509.970229999628, sync, copy, 5905, 4, 1
19.781360999681056, sync, write, 80, 4, 1
246.01914700027555, sync, write, 817, 4, 1
7.275595999788493, sync, copy, 24, 4, 1
56.89715100033209, sync, write, 73, 4, 1
91.47770699998364, sync, writeFile, 305, 4, 1
32.25682599982247, sync, writeFile, 155, 4, 1
4.717162000015378, sync, write, 47, 4, 1
20006.094555999618, sync, copy, 51477, 4, 1
7.13519399985671, sync, write, 12, 4, 1
20.42396800033748, sync, writeFile, 160, 4, 1
54.54021700005978, sync, writeFile, 263, 4, 1
106.56929999962449, sync, copy, 336, 4, 1
19.49005600064993, sync, writeFile, 121, 4, 1
82.29138199985027, sync, write, 192, 4, 1
4.265756000764668, sync, write, 21, 4, 1
1633.0085609992966, sync, write, 5664, 4, 1
986.5088649997488, sync, writeFile, 3158, 4, 1
1638.8990380000323, sync, writeFile, 4335, 4, 1
11.066245999187231, sync, copy, 55, 4, 1
50.21686000004411, sync, copy, 161, 4, 1
40.355829999782145, sync, write, 59, 4, 1
340.1138700004667, sync, writeFile, 1192, 4, 1
507.56518000084907, sync, writeFile, 1559, 4, 1
13834.43411600031, sync, copy, 38612, 4, 1
667.8644909998402, sync, write, 2104, 4, 1
6.692087999545038, sync, copy, 49, 4, 1
385.7399769993499, sync, write, 1328, 4, 1
30308.52779099997, sync, copy, 80920, 4, 1
38.09230099990964, sync, write, 117, 4, 1
765.4250739999115, sync, copy, 2316, 4, 1
3.8944509997963905, sync, write, 10, 4, 1
30.464901000261307, sync, copy, 104, 4, 1
33.41613999940455, sync, writeFile, 97, 4, 1
