1494.5733789997175, sync, copy, 5087, 4, 1
452.0996349994093, promise, copy, 1781, 4, 10000
46.02917599957436, promise, copy, 358, 4, 10
2489.8674130002037, callback, copy, 8026, 4, 100
1.2100619999691844, callback, copy, 61, 4, 100
866.906144999899, sync, copy, 3068, 4, 1
5.699794000014663, callback, copy, 150, 4, 10000
0.9025459997355938, sync, copy, 14, 4, 1
0.6196320001035929, callback, copy, 23, 4, 1000
290.47759199980646, sync, copy, 1295, 4, 1
0.45502400025725365, callback, copy, 14, 4, 10
635.8425190001726, callback, copy, 2240, 4, 1
0.5118270004168153, promise, copy, 20, 4, 100
36.375076999887824, sync, copy, 316, 4, 1
88.81608399935067, callback, copy, 269, 4, 10
5.321074000559747, callback, copy, 103, 4, 100
901.808545999229, sync, copy, 3324, 4, 1
6.107315000146627, sync, copy, 117, 4, 1
993.118356000632, callback, copy, 3677, 4, 1
80.1366360001266, callback, copy, 506, 4, 10000
63.04705400019884, promise, copy, 527, 4, 100
47.36544399987906, promise, copy, 339, 4, 1000
2435.7656979998574, promise, copy, 7951, 4, 10000
1.0870559997856617, sync, copy, 20, 4, 1
107.36934099998325, promise, copy, 607, 4, 1
2903.9363590003923, promise, copy, 9804, 4, 100
2.6780380001291633, sync, copy, 50, 4, 1
4.471931000240147, sync, copy, 60, 4, 1
866.5518190003932, promise, copy, 3135, 4, 10
2360.6996360002086, promise, copy, 7779, 4, 10
5.770498000085354, sync, copy, 100, 4, 1
0.3599189994856715, promise, copy, 11, 4, 1000
3.4169760001823306, callback, copy, 107, 4, 1000
398.7183790002018, promise, copy, 1329, 4, 10
1543.6451690001413, promise, copy, 5376, 4, 10000
42.98231799993664, sync, copy, 330, 4, 1
1173.896585999988, promise, copy, 3761, 4, 10
6.866053999401629, callback, copy, 196, 4, 10000
96.86510000005364, promise, copy, 612, 4, 1
229.50294500030577, callback, copy, 892, 4, 10
418.140080999583, promise, copy, 1255, 4, 1000
1538.953727999702, callback, copy, 4757, 4, 10
